#{"t_start": 1698025728.808209, "env_id": null}
r,l,t
-314.199209,35,448.334097
-1252.070422,80,448.529501
-84.396911,16,448.884195
-264.367909,32,448.966781
-1043.367519,79,449.14882
-32.398395,10,449.51469
-301.501688,38,449.573593
-10.082018,5,449.743998
-612.438774,64,449.796506
-566.402089,61,450.110506
-488.110536,53,450.435194
-29.915555,11,450.721387
-1982.779042,107,450.823465
-101.225101,13,451.371389
-404.236787,34,451.44396
-2058.440677,110,451.650152
-336.924194,25,452.235042
-880.38618,62,452.381857
-58.035631,11,452.677578
-55.172525,13,452.731453
-227.932583,38,452.812852
-2793.362586,124,453.059011
-1439.146933,86,453.674927
-583.092442,59,454.219105
-123.44757,29,454.474856
-1548.056252,101,454.652763
-2479.368901,127,455.17077
-122.054761,15,455.714162
-37.204159,8,455.78016
-78.716062,13,455.824887
-502.473366,30,455.900396
-386.886212,26,456.043087
-492.191728,58,456.222546
-186.20457,25,456.547878
-2925.863923,133,456.763394
-164.789032,23,457.807062
-453.11074,52,458.078388
-248.566953,25,458.64047
-886.581554,78,458.952202
-442.100347,29,459.76553
-8.822541,5,460.054743
-20.219632,7,460.130345
-239.681193,21,460.220893
-2952.726075,132,460.554729
-442.068541,29,461.88128
-273.781867,23,462.200313
-2507.426365,126,462.595903
-629.623345,65,463.919176
-69.790636,12,464.5676
-310.22787,44,464.745637
-268.274364,21,465.200194
-1003.903031,70,465.255222
-299.846512,23,465.272257
-207.313991,25,465.291588
-1269.821127,89,465.360066
-154.243092,16,465.417634
-293.729527,23,465.735196
-684.276042,61,466.032415
-1158.078396,83,466.872126
0.044188,2,467.769246
-2138.679457,116,467.909325
-336.040268,49,469.227018
-2855.76258,130,469.857398
-1864.863788,114,471.323621
-539.797022,60,472.547807
-310.189707,41,473.195325
-481.874237,33,473.666965
-1435.738944,87,474.09555
-1286.381809,87,475.018639
-1549.545595,100,476.029751
-590.564017,63,477.161735
-196.418759,38,477.815345
-187.850897,24,478.219477
-1013.22745,81,478.528207
-563.631693,58,479.391438
-1053.678817,83,480.041953
-2005.396839,99,480.951817
-150.288767,17,481.99473
-231.732169,27,482.210803
-569.583532,33,482.507437
-1487.143975,98,482.91403
-578.693241,32,483.977966
-341.195419,42,484.386176
-1837.939386,107,484.892084
1.186803,2,485.944882
-150.16644,17,485.988882
-463.302442,29,486.206734
-1.477867,3,486.499067
-1651.929274,104,486.63535
-180.709846,37,487.745833
-442.924897,56,488.230044
-48.042209,9,488.831955
-1341.275576,95,489.040893
-154.354606,34,490.126766
-1.53231,4,490.499684
-29.387899,8,490.544467
-152.075756,16,490.637673
-298.756893,47,490.831778
-161.815156,22,491.362113
-433.645515,28,491.606179
-73.30533,12,491.900987
-309.499876,22,492.039175
-4.612975,4,492.26809
-306.995846,40,492.346642
-257.883267,27,492.755683
