#{"t_start": 1695213136.580772, "env_id": null}
r,l,t
-94.006218,27,77.352304
-146.109023,32,77.496227
-10.735615,7,77.636736
-0.556561,3,77.666988
1.578536,1,77.681993
-46.93485,9,77.689499
-39.047738,11,77.733279
-12.321763,7,77.784796
-45.865062,19,77.822794
-18.453105,7,77.899965
-32.736935,9,77.934965
-150.281927,34,77.989328
-65.085645,11,78.154869
4.161878,1,78.208385
-9.763207,6,78.213382
-5.585657,5,78.253387
-32.321157,9,78.285913
-1.691566,3,78.335912
-90.734054,27,78.365186
-27.985,8,78.507229
4.427117,1,78.548229
-11.580386,5,78.557227
-15.283099,11,78.585743
-175.330064,34,78.658741
-29.115105,11,78.818007
2.456923,1,78.868009
-163.046925,35,78.888515
-3.558608,3,79.054037
1.389341,1,79.071046
2.227656,1,79.076045
-10.240287,6,79.086564
1.872302,1,79.118558
-103.650428,27,79.133559
-1.058146,3,79.260069
-28.973463,8,79.278082
0.895302,1,79.327589
-49.20345,12,79.343591
-45.101767,10,79.414112
-190.72525,38,79.482119
-107.125813,27,79.691677
-2.488031,3,79.827193
-31.66274,10,79.847193
0.253941,1,79.897206
-13.551565,6,79.905204
-0.096237,3,79.943205
-7.723989,5,79.963205
-27.727961,10,79.991726
-35.314044,17,80.052728
-46.924011,13,80.140468
-84.638705,26,80.214976
-134.849366,31,80.343503
-6.707734,5,80.480043
0.017426,1,80.500591
-4.429074,5,80.507591
0.242752,2,80.533591
-31.096555,16,80.553591
0.219025,1,80.621134
-25.372863,8,80.634135
-33.914725,8,80.673153
-23.927981,10,80.7177
-191.994973,37,80.775719
-9.84987,5,80.942862
3.299472,1,80.965862
0.460873,1,80.971864
-13.935125,6,80.982138
-71.121825,24,81.020656
-24.794177,10,81.123165
-49.59895,20,81.182513
-67.847261,13,81.275524
0.638485,1,81.331589
-15.783627,9,81.340589
-8.887609,5,81.379592
-5.433065,5,81.406523
-40.050047,9,81.435523
1.849157,1,81.481847
-10.777614,10,81.489354
-129.919615,32,81.551417
-0.638083,2,81.725655
-4.109688,4,81.737655
-167.800181,35,81.775658
-20.632984,6,81.954292
-12.221038,6,81.985333
3.959265,1,82.013738
-84.15932,24,82.028169
-194.48683,38,82.154556
-2.503819,3,82.326683
-0.961185,3,82.343093
1.474371,1,82.355512
-49.888137,9,82.368512
-83.930629,25,82.421021
2.968066,1,82.528195
-71.900331,22,82.541197
-0.430427,2,82.632092
-44.580525,13,82.646092
-8.175613,6,82.703678
-211.434228,38,82.744678
-9.442372,6,82.902518
-65.77672,17,82.934519
-72.619313,22,83.011027
-71.032156,12,83.112864
1.541173,1,83.162564
-8.496102,9,83.17163
-28.047771,8,83.213167
1.712025,1,83.246579
2.514397,1,83.253578
-5.397424,4,83.258578
-13.172886,5,83.278581
-0.755049,2,83.304591
1.277091,1,83.313591
-1.877135,4,83.318688
-37.237536,9,83.339174
-32.494786,9,83.383312
-55.238859,10,83.423007
-38.84027,9,83.466289
-24.259453,12,83.510304
-71.182582,24,83.5728
-2.990244,3,83.68578
-27.884629,8,83.701579
-5.779662,8,83.736578
-0.639362,3,83.771474
-69.551707,24,83.795488
-13.645509,8,83.907361
-71.82316,23,83.951361
-44.625955,17,84.053181
-152.922029,33,84.146688
-17.864974,6,84.28507
-10.683478,5,84.310763
-24.313617,9,84.339208
-222.417822,39,84.391155
-89.285499,26,84.553682
-1.047531,4,84.658692
-162.166632,32,84.688616
-3.726792,5,84.826633
-5.163643,4,84.846142
-32.995062,11,84.867144
-14.420499,7,84.918322
-23.088638,10,84.949848
0.419754,2,84.993716
-175.714428,36,85.015717
-58.350436,15,85.173523
-0.131744,2,85.235136
1.380931,1,85.245136
-40.804711,19,85.257621
-53.831537,20,85.359106
-3.237844,5,85.441123
1.658117,1,85.460123
1.780338,1,85.465123
-25.411508,11,85.473123
0.072241,1,85.522326
-171.400771,36,85.539325
-139.458546,30,85.704587
-61.428007,22,85.838304
-5.890602,5,85.930203
0.552292,1,85.95128
-38.426324,12,85.95928
-26.427219,9,86.019842
-145.994573,33,86.073842
-62.203946,19,86.228664
-114.211148,28,86.324272
-25.652981,10,86.454407
-32.43472,10,86.499917
-13.483823,6,86.541915
-70.444776,21,86.574915
-1.650428,3,86.667499
4.02068,1,86.681501
2.286852,1,86.684501
-45.69212,19,86.697007
-45.119293,12,86.788317
-47.730314,13,86.842823
-45.056052,10,86.899276
-13.251041,7,86.945276
-13.685009,6,86.978745
-12.09827,7,87.007763
-7.578069,4,87.042206
-32.423349,8,87.061206
-4.738851,4,87.100714
-27.358727,8,87.120717
-112.168098,25,87.161867
-7.338521,5,87.264087
-30.609184,9,87.294595
-4.529474,4,87.334124
-6.712794,6,87.353123
-6.312894,4,87.378126
-119.597088,30,87.411632
-24.974303,10,87.544049
0.066217,1,87.586051
-136.395396,31,87.607557
-25.189124,7,87.73821
-24.105286,8,87.77521
-9.389729,6,87.809718
2.593962,1,87.834073
-0.333027,3,87.840073
-18.167205,8,87.861074
-39.32941,9,87.899828
-0.840989,3,87.935828
0.411617,2,87.951829
-200.413552,38,87.976831
0.344847,2,88.135811
-49.704487,17,88.150811
-176.838086,34,88.238539
-2.877121,3,88.389663
-8.034797,6,88.40788
-13.185009,8,88.435247
-17.688882,9,88.473809
-18.389731,9,88.518302
-25.895349,8,88.560302
-0.22481,2,88.59381
-26.737995,11,88.60881
-51.724539,17,88.65981
-31.600453,8,88.733409
-26.232547,7,88.768918
-48.226135,19,88.809426
-2.505128,4,88.893525
-138.748544,28,88.91989
0.435538,2,89.03712
-9.763666,6,89.049121
-4.292546,4,89.075401
-13.781128,6,89.095979
3.782793,1,89.121465
-180.85529,32,89.140465
-44.114729,9,89.272358
-7.86165,5,89.314461
-33.362485,9,89.33597
-37.229966,9,89.379431
-17.925708,8,89.42063
-30.887351,8,89.45563
-21.82179,9,89.497647
-77.347232,20,89.555646
2.574813,1,89.640565
-98.541763,21,89.653014
1.765194,1,89.743285
-86.842965,22,89.756285
-53.062101,10,89.85125
-34.070185,11,89.89776
-51.160443,10,89.947893
-150.552061,25,90.009161
1.18606,2,90.124933
1.902255,1,90.133935
-19.531902,9,90.142933
-0.093348,3,90.181939
-29.376631,12,90.202094
-24.7702,8,90.257093
-21.097704,9,90.292106
-14.555873,6,90.333553
1.04646,1,90.363553
-5.867171,5,90.372553
-20.204201,8,90.395061
-108.55865,21,90.437937
-7.879705,5,90.532348
-50.469023,15,90.558329
3.080998,1,90.624797
-104.935218,21,90.63878
-70.358625,17,90.753367
-26.949841,11,90.82691
-61.050363,17,90.878939
0.078592,2,90.95254
-13.254988,7,90.964539
-131.86693,24,91.009099
-14.374083,6,91.011116
1.621903,1,91.011116
-94.268454,19,91.018116
0.177127,1,91.018116
-13.310267,8,91.021115
-190.693604,29,91.142191
1.29125,1,91.283621
-8.747161,7,91.294127
-0.425748,3,91.327126
-25.9397,10,91.345127
-37.377501,9,91.397634
-33.891139,9,91.440634
-2.82014,4,91.481636
-0.498895,2,91.499142
-17.770454,6,91.511142
-58.290556,10,91.541142
-16.260764,7,91.588144
0.076306,1,91.61865
-33.647814,9,91.629662
-13.082295,6,91.66865
-5.639027,5,91.696158
-29.214575,7,91.722157
-4.077591,4,91.754158
-0.527001,2,91.772157
-40.149213,12,91.78516
-90.998863,20,91.844667
-57.542631,16,91.936228
-53.654268,16,92.012758
-45.564986,9,92.083776
-36.947476,12,92.129282
-106.668578,21,92.193789
-46.048352,13,92.294297
0.320933,2,92.350803
-35.500772,9,92.362803
-6.914562,4,92.404312
-24.232445,8,92.430312
-22.224959,9,92.466312
-16.569013,9,92.50682
-57.771067,15,92.55582
-38.311498,13,92.626328
-17.019365,8,92.686331
-72.714451,17,92.725836
-9.721311,7,92.803344
0.900048,1,92.835344
-12.084384,5,92.842345
-2.101158,4,92.863345
-87.162608,20,92.889347
-4.21286,4,92.973852
0.211574,1,92.990854
-8.007141,5,92.99836
-42.358132,13,93.024373
-9.872083,5,93.082362
-18.354981,9,93.106868
-22.531207,10,93.152868
-17.582616,7,93.202376
-10.685103,7,93.233376
-117.099265,22,93.274376
-18.817552,10,93.36615
-47.797181,9,93.417658
-17.511487,9,93.456658
-26.402462,10,93.498213
-18.815368,8,93.548214
3.297636,1,93.587219
-93.407577,20,93.599725
-9.825768,5,93.683727
-7.176076,4,93.710268
-23.689777,7,93.731252
3.129557,1,93.760252
-54.46806,16,93.772703
-23.288618,10,93.84621
-4.049967,5,93.893716
-16.48435,7,93.916718
-42.163281,9,93.950718
-64.12727,17,93.996225
-50.8516,15,94.093732
-79.105314,18,94.173641
-91.140674,20,94.264688
-17.544986,9,94.356258
-139.108736,24,94.409165
-1.166191,3,94.512674
0.203995,1,94.524674
-13.208235,7,94.534674
-37.527311,13,94.570727
-39.917044,12,94.631234
-140.749982,24,94.688236
-23.117303,11,94.790421
-23.656835,8,94.837953
-19.116343,6,94.873953
-99.098978,21,94.906461
-6.54587,5,94.992463
-9.348097,7,95.017969
-101.706213,21,95.056969
-45.183272,9,95.144728
-9.190793,7,95.19073
1.699225,1,95.228236
-14.864483,9,95.239236
-32.65861,9,95.280238
0.179291,1,95.320744
2.285556,1,95.325744
-12.257302,5,95.332744
-30.878926,12,95.361744
-0.101577,2,95.417269
2.089141,1,95.426269
1.207745,1,95.434272
-0.249288,3,95.439272
-4.287229,4,95.459269
-94.659111,20,95.485272
0.887935,2,95.567972
-35.546495,9,95.579975
-35.374665,9,95.617481
-26.537758,8,95.664481
3.991108,1,95.699988
-1.234446,3,95.704988
-0.014376,3,95.719988
2.708227,1,95.733988
-21.105562,9,95.742988
-127.70618,23,95.78899
-35.50085,9,95.888498
-2.521074,4,95.929003
-76.909727,20,95.955003
-31.444745,13,96.05151
-24.647345,10,96.119017
-34.86073,12,96.169017
-8.892496,6,96.220525
-64.780227,16,96.251525
-8.48376,5,96.325031
-127.477456,22,96.356031
-4.725885,5,96.448539
0.35985,1,96.470539
-10.821031,6,96.479542
-17.98954,9,96.515555
-0.513475,2,96.557555
-46.04646,9,96.569555
1.364687,1,96.606063
-8.999678,7,96.615063
-86.39601,20,96.656063
-8.278438,7,96.744932
-44.712018,9,96.776932
-32.894249,12,96.820439
-19.393879,10,96.875439
-1.748285,4,96.919948
-13.921623,8,96.944947
-123.213151,24,96.99195
-22.92003,9,97.093457
-113.645426,28,97.142963
-47.491374,10,97.26347
0.254733,1,97.307977
-9.323541,5,97.312977
-30.526878,8,97.340977
-43.821244,14,97.379979
-56.431937,15,97.446484
-137.069039,23,97.516993
-104.369573,28,97.633499
-19.908398,9,97.756007
3.248935,1,97.796514
-3.304743,3,97.803514
-60.432903,23,97.825514
-26.919966,11,97.923287
-19.860215,7,97.976287
-31.667296,8,98.010794
-56.841833,15,98.049795
-8.470057,9,98.111302
-0.640172,3,98.153302
-8.201648,6,98.167302
-43.673176,15,98.200809
-10.022056,7,98.271809
-11.068727,5,98.303317
-17.270762,7,98.328317
1.142502,1,98.356317
-46.847388,14,98.367317
-29.10031,16,98.435081
2.827302,1,98.500588
-29.256633,10,98.507588
-16.377886,7,98.551589
-45.911908,9,98.590591
-60.134558,16,98.632096
-46.024834,10,98.701603
-0.706315,3,98.744603
0.374751,2,98.760603
-19.514354,7,98.773603
-35.757615,9,98.80711
-23.247385,7,98.85011
0.078793,1,98.882114
-55.494789,16,98.895616
-48.572933,9,98.970618
-24.405366,8,99.009251
2.75413,1,99.049252
0.366362,1,99.057251
-37.408817,9,99.064252
4.512245,1,99.104812
-53.869665,15,99.115813
-82.946577,19,99.195259
-1.252081,4,99.27775
-30.884218,8,99.301319
-42.611846,9,99.342274
-65.305387,11,99.390533
1.492485,1,99.435554
-82.996623,19,99.448554
-26.580606,11,99.530627
0.937737,1,99.578625
-57.930732,21,99.588629
-39.023875,26,99.684704
-98.997442,20,99.802094
3.052801,1,99.883505
-53.917139,24,99.896007
-54.252355,15,99.998007
-29.05784,12,100.065687
-32.363113,8,100.11614
-13.256903,12,100.153145
-1.83889,5,100.208681
-9.136448,5,100.231682
-105.404659,21,100.266148
